osmanlica,transkripsiyon
زيله مع يوركان و عشائر مع اورته پاره,Zile maa Yörükan ve Aşair maa Ortapare
زيله و مشهد اباد,Zile ve Meşhedabad
زيلى,Zile
زينه,Zeyne
زيوه لو,Zeyveli
زيوه و بارجكان,Zive ve Parçikan
زَتْنه,Zetne
زَفْته,Zifte
زَلَه,Zelle
زَلَّه,Zelle
زَيْنه,Zeyne
زُبيد,Zübeyd
زپلانا,Zaplana
زچوه,Zeçeva
سابوسنه و غفات و منصور و باطنه,Sabusne ve Gaffat ve Mansur ve Batıne (?)
ساحل,Sahil
ساحل بيروت,Sahil-i Beyrut
ساحل حامِت و سَبْلِين,Sahil-i Hamit ve Silin (Seblin)
ساحل عثليث الغربى,Sahil-i Aslisülgarbi
ساحل عكا,Sahil-i Akka
ساحل عكّه,Sahil-i Akka
ساحل مع سوسه و لجم و مهديه,Sahil maa Suse ve Lecem ve Mehdiye
ساحل مع سوسه و لجم و مَهْدُيّه,Sahil maa Suse ve Lecem ve Mehdiye
ساحل مع سوسَهْ و لجم و مهديه,Sahil maa Suse (Suseh) ve Lecem ve Mehdiye
ساحل معركه,Sahil-i Mareke
ساداب,Sadab (?)
سارات,Sarat
سارسو,Sarso
ساروز,Saroz
ساروس,Saros
سارويز,Sarviz
ساريا,Sariya
ساريز,Sarız
ساريزك,Sarızeg
ساريه,Sariya
سارييا,Sariya
سارييه,Sariya
سارپتاق,Sarpatak
سارپطاق,Sarpatak
ساز,Saz
ساز باشى,Sazbaşı
سازاق,Sazak
سازان,Sazan
سازباشى,Sazbaşı
سازلى دره,Sazlıdere
سازن,Sazin
سازه نو,Sazano
سازين,Sazin
ساس,Sas
ساسون,Sason
ساغجى مع بادلو,Sağıcı (?) maa Badıllı
ساغوار,Sagvar
سافونيدى,Safonidi
ساقز,Sakız
ساقز مع قراى مصطكى,Sakız maa Kura-yı Mastaki
ساقيز,Sakız
ساقيۀ موسى,Sakiyye-i Musa
ساقِيّۀ موسى,Sakiyye-i Musa
ساكاويجه,Segaviçe
سالامين,Salamin
سالحوره,Salahora
سالمانلر,Salmanlar
سالينه,Salina
سامرا,Samarra
سامره,Samarra
سامسون,Samsun
ساموتراكى,Samotraki
ساميوپولا,Samiyopula
سان,San
سانتاماورا,Santamavra
سانتورين,Santorin
ساندومينو,Sandomino
سانسغو,Sansigo
سانسقى موست,Sanskimost
سانسكى موست,Sanskimost
سانطه,Santa
سانطورين,Santorin
ساننيقولو,Sannikolo
سانه,Sana
سانيچه,Saniçe
ساوجى صنقور,Savcısunkur
ساوسيغ,Savsig
ساير مواضع,Sayir Mevazi
ساپيانزا,Sapiyanza
سبانجه مع آطه پازارى,Sapanca maa Adapazarı
سبحان,Sübhan
سبحه,Sebha
سبرجت,Sebercet
سبره,Sibre
سبقحانلو,Sabakhanlı (?)
سبلاق,Siplak
سبلبن,Sebellebin
سبللبين,Sebellebin
سبهه,Sebhe
سبهه و سمنو,Sebhe ve Semnu
سبوتنجه,Subotinçe
سبودسقه,Subodiska
سبوچقه,Suboçka
سبيا و زنجير,Sebiya ve Zencir
سبياك,Sibyak
ستاوق,Sitavuk
سترك,Setrek
سترك سفلا,Setrek-i Süfla
سترونكيلو,Strongilo
ستروويلو,Strovilo
ستسقه,Suteska
ستفانو,Stefano
ستفانوس,Stefano (Stefanos)
ستنچه,Steniçe
ستورا,Situra
ستورينه,Sturine
سجليه,Sicilya
سجيليه,Sicilya
سحاب,Sihab
سحوغرله,Suhogırla
سحوم,Sohum
سختلو,Sehatlı (?)
سخنه,Suhne
سخوغرله,Suhogırla
سخوم,Sohum
سد البحر,Seddülbahir
سدره,Sedra
سدره قاپسى,Sidrekapsi
سدره قبسى,Sidrekapsi
سدره قپسى,Sidrekapsi
سدرو,Sedro
سده,Side
سدوان,Saduvan
سدّ اسلام,Sedd-i İslam
سر فيروز اباد,Serfiruzabad
سر قالو,Serkalo (?)
سر چنار,Serçınar
سرا برنيچه,Srebreniçe
سرا دره سى,Seraderesi
سراب,Serab
سراباد,Serabad
سرابرنيچه,Srebreniçe
سراة,Serat
سراجلى,Saraçlı
سراجو,Seracu
سراطع,Suratu
سراكنه,Serakine
سراكينو,Sarakino
سراولوس,Sravalos
سراى اوزى,Sarayözü
سراى بوسنه,Saraybosna
سراى بوسنه مع نواحى,Saraybosna maa Nevahi
سراى كوى,Sarayköy
سراى كويى,Sarayköyü
سراى ويزه,Saray-ı Vize
سرايجق,Saraycık
سرايكوى,Sarayköy
سرب,Sırb
سربرنيجه,Srebreniçe
سربرنيق,Srebrenik
سربرنيچه,Srebreniçe
سربرنچه,Srebreniçe
سربند,Serbend
سرت,Sirt
سرتاج,Sertaç
سردج,Serdic
سردرود,Serdrud
سردصحرا,Serdsahra
سرده,Serde
سرده هل,Serdehel
سردوصحرا,Serdsahra
سرستاد,Siristad
سرسك,Seresek
سرشنيك,Sirişnik
سرشنيك مع كورنه قيرايشته,Sirişnik maa Gornakrayişte
سرطاش,Surdaş
سرعين,Serraayn
سرغايا,Sirgaya
سرفوس,Serifos
سرفيجه,Serfiçe
سرفيچه,Serfiçe
سرفيچه جمعه سى,Serfiçe Cuması
سرفيچه مع اكرى بجاق,Serfiçe maa Eğribucak
سرفچه,Serfiçe
سرقنطئ بالا,Sırkıntı-i Bala
سرقنطى,Sırkıntı
سرقنطيء بالا,Sırkıntı-i Bala
سركس,Serkis
سركش,Serkeş
سركن,Sergen
سركه,Sirge
سركيس,Serkis
سرم,Sirem
سرماسادارس و سانه,Sermasadaris ve Sana (?)
سرمين,Sermin
سرنديب,Serendib
سره برنيق,Srebrenik
سرو,Serv
سروج,Suruç
سروج جك,Sürüccük
سروجك,Sürüccük
سروجوك,Sürüccük
سروز و كمر,Siroz ve Kemer
سرولوس,Sravalos
سروى,Servi
سرويّه,Serviye
سروچ مع عشيرت برازى,Suruç maa Aşiret-i Berazi
سروچك,Sürüccük
سروچك و قزلجه مع طراطور و چَفتان و پَنْجُويَن,Sürüccük ve Kızılca maa Taratur ve Çeftan ve Pençvin
سريج,Seric
سريغو,Serigo
سريفوس,Serifos
سرينا,Sirina
سرپرنچه,Srebreniçe
سرچمه,Serçeme
سرچنار شرق,Serçınar-ı Şarki (Şark)
سرچنار شرقى,Serçınar-ı Şarki
سرچنار غرب,Serçınar-ı Garbi (Garb)
سرچنار غربى,Serçınar-ı Garbi
سرچنار و قوپسى (؟),Serçınar ve Kopsi (?)
سرچيان,Serçeyan
سزاق,Sazak
سزانوس,Sazanos
سسقيلى,Seskılı
سعال,Sial
سعد آباد,Saidabad
سعد اباد,Saidabad
سعدآباد مع صاريز مغاره سى,Sadabad maa Sarız Mağarası
سعران,Saaran
سعرد,Siird
سعرد و حصنمنصور,Siird ve Hısn-ı Mansur
سعل بديره,Sail Bedire
سعل صيح,Sail Sih
سعل عدر,Sail Ader
سعل عدر الكبير,Sail Aderilkebir
سعل عربى,Sail Arabi
سعل عنبر,Sail Anber
سعل كتاب,Sail Küttab
سعول,Suul
سعيد اباد,Saidabad
سعيد ايلى,Saidili
سعيد ايلى مع دربند قادين خانى,Saidili maa Derbend-i Kadınhanı
سعيد ايلى مع يوركان لادق,Saidili maa Yörükan-ı Ladik
سعيرد,Siird
سغارلا,Segarla
سفاجر,Sefacir
سفاجه,Saface
سفريحصار,Seferihisar
سفريحصار چشمه مع ناحيۀ هركه,Seferihisar-ı Çeşme maa Nahiye-i Hereke
سفريحصار چشمه مع ناحيۀ هَرَكَه و قلعۀ صيغجق,Seferihisar (Sifrihisar-ı Çeşme) maa Nahiye-i Hereke ve Kale-i Sığacık
سفلئ مدللّو,Süfla-i Midilli
سفلا,Süfla (Zaruşad'da)
سفنوس,Sifnos
سفنوه,Sifnos (Sifnova (?))
سقاريا,Sakarya
سقاريه,Sakarya
سقال,Sakal
سقريه,Sakarya
سقطرى,Sukutra
سقلاويه,Saklaviye
سكاويچه,Segaviçe
سكت,Siget
سكتان,Sektan
سكتوار,Sigetvar
سكتوار و پچوي,Sigetvar ve Peçuy
سكجوي,Sekçuy
سكديك,Segedik
سكدين,Segedin
سكر كند,Senirkend
سكر مع دوشنبه,Senir maa Düşenbe
سكركسن,Senirkesen
سكركند,Senirkend
سكرمه,Sekirme
سكروفچه,Sekirofça
سكريان,Sekeryan
سكسار,Seksar
سكسار مع مهاچ,Seksar maa Mohaç
سكلانى,Seklani
سكلاني,Seklani
سكلهد,Sekelihid
سكمان اباد,Sökmenabad
سكمن اباد,Sökmenabad
سكوت,Söğüt
سكوت اباد,Söğütabad
سكود,Söğüd
سكود اوزى,Söğüdözü
سكود و پازار صويى,Söğüd ve Pazarsuyu
سكودلى,Söğüdlü
سكچوى,Sekçuy
سكچوي,Sekçuy
سكژد,Segejd
سلاح,Silah
سلالى,Selali
سلام,Slam (?)
سلامتلى,Selametli
سلامه,Selame
سلانيق,Selanik
سلانيك,Selanik
سلانيك مع نواحى,Selanik maa Nevahi
سلانيك و قواله,Selanik ve Kavala
سلانيك وسدره قپسى,Selanik ve Sidrekapsi
سلبوكن,Selbüken
سلتانمود,Sultanmud
سلحد,Salhad
سلدوز,Süldüz
سلستره,Silistre
سلستره مع طولچى,Silistre maa Tulca
سلستره مع نواحى,Silistre maa Nevahi
سلطان,Sultan
سلطان اوكى,Sultanönü
سلطان اوكي,Sultanönü
سلطان حصار,Sultanhisar
سلطان حصارى,Sultanhisarı
سلطان خانى,Sultanhanı
سلطان طاغلرى,Sultan Dağları
سلطان يرى,Sultanyeri
سلطانحصار,Sultanhisar
سلطانمود,Sultanmud
سلطانيرى,Sultanyeri
سلطانيه,Sultaniye
سلفكه,Silifke
سلفكه مع اوقاف و بلكۀ جبل,Silifke maa Evkaf ve Bölge-i Cebel
سلفيه,Selefiye
سلقه,Salaka
سلقين,Selkin
سللس,Sülles
سلماس,Selmas
سلمان پاك,Selmanpak
سلمانلر,Selmanlar
سلمانلو,Selmanlı
سلمانلو و قراء ممالو,Selmanlı ve Kura-i Mamalı (Mamalu)
سلمانلوى صغير,Selmanlı-yı Sagir
سلمانلوى كبير,Selmanlı-yı Kebir
سلمانلى,Selmanlı
سلمنك,Selmenik
سلمنلر,Sülmenler
سلمى,Selmi
سلميه,Selemiye
سلميه و ديررحبه,Selemiye ve Deyr ve Rahbe (Deyr-Rahbe)
سلنتى مع بلكۀ پازارجق وبلكۀ اينجه آغز,Selinti maa bölge-i Pazarcık ve bölge-i İnceağız
سلنتى مع نواحى,Selinti maa Nevahi
سلندى,Selendi
سلندى بازارجق بولكه سى,Selinti (Selindi) Pazarcık bölgesi
سلندي,Selendi
سلنو,Selino
سلنچه,Seleniçe
سله,Sille
سله پور,Selepur
سلوان,Silvan
سلوبى,Silopi
سلودى (؟),Seludi (?)
سلورى,Silivri
سلوش,Söllöş
سلوك,Sülük
سلووه,Sulova
سلوى,Selvi
سلوپى,Silopi
سليس اوزي,Silisözü
سليم,Selim
سليمان,Süleyman
سليمان سراى,Süleymansaray
سليمانلو,Süleymanlı
سليمانلو صغير,Süleymanlı-yı Sagir
سليمانلو مع آوجيلر,Süleymanlı maa Evciler
سليمانلوى كبير,Süleymanlı-yı Kebir
سليمانلوى كوچك,Süleymanlı-yı Küçük
سليمانلى,Süleymanlı
سليمانلى و بوغازليان و سلمانلى,Süleymanlı ve Boğazlıyan ve Selmanlı
سليمانيه,Süleymaniye
سليمانيّه,Süleymaniye
سليمانيّه مع سر چنار و عشيرت مَنْدُمى,Süleymaniye maa Serçınar ve Aşiret-i Mendümi
سليورى,Silivri
سلچه,Seliçe
سما درك,Semadirek
سما ديرك,Semadirek
سمادرك,Semadirek
سماق,Summak
سماو,Simav
سماوه,Semave
سمباكى,Sömbeki
سمت قبلى,Semt-i Kıbli
سمحال,Semihal
سمدرك,Semadirek
سمراوزى,Semerözü
سمره,Simre
سمره طاشان,Simre-i Taşan
سمن,Semen
سمندره,Semendire
سمندره اوصادى,Semendire Osadı
سمنو,Semnu
سمنو و سبهه,Semnu ve Sebhe
سمودور,Somodor
سموكين,Somogin
سمَندرَه,Semendire
سن لازار,Senlazar
سن لورينچ,Senlörinç
سن مارتين,Senmartin
سن موريس,Senmoris
سن و آگو و خوشناو,Sin ve Agu ve Hoşnav
سن پتره,Senpetre
سناك,Senak
سنامنلو,Senemenli
سنان,Sinan
سنان پاشا,Sinanpaşa
سنانلو,Sinanlı
سنانلى,Sinanlı
سنباس,Sunbas
سنبللوين,Senbellavin
سنبو,Senebu
سنبول,Seynol (?)
سنت آنغريقو,Sentangeriko
سنت استاد,Sentestad
سنت اندريه,Sentandreye
سنت جورج,Sentcorc
سنت جورجيواطه سى,Sentcorciyo
سنت جون,Sentcon
سنت جونس,Sentcons
سنت مور,Sentmor
سنت نيقولا,Sentnikola
سنت نيقولو,Sentnikolo
سنت پليوس اطه جغى,Sentpiliyos Adacığı
سنجار,Sincar
سنجاسولى,Sancasulu (?)
سنجاق,Sancak
سنجان,Sincan
سنجان مع كرماستى,Sincan maa Kirmasti
سنجان مع ميخاليج,Sincan maa Mihaliç
سنجانلو,Sincanlı
سنجانلى,Sincanlı
سنجبد,Sencbed
سنجك,Sincik
سنجه,Seniçe
سنجيك,Sincik
سنحان,Senhan
سندى,Sindi
سندى كللى,Sindigüllü
سنديان,Sindiyan
سنطورين,Santorin
سنغودهار,Sengodhar
سنغورلى,Sungurlu
سنقور,Sunkur
سنقور اباد,Sunkurabad
سنقورلو,Sungurlu
سنقورلى,Sungurlu
سنك سلفكه,Seng-i Silifke
سنكاو,Sengav
سنكرود,Sengrod
سنكل,Singel
سنكلت,Sengelet
سنكوب,Sengob
سنكورك,Sengorg
سنلورنج,Senlörinç
سنلورنچ,Senlörinç
سنلورينچ,Senlörinç
سنمارتين,Senmartin
سنمقلوش,Senmikloş
سنمنلى,Senemenli
سنور,Sünür
سنى,Sini
سنيچه,Seniçe
سنّه,Sünne
سنگرود,Sengrod
سه روى,Servi
سه فاجر,Sefacir
سهره ورث,Suhrevers
سواديه,Sevadiye
سوارقيه,Suvarkıya
سواكن,Sevakin
سوتسقه,Suteska
سوتين,Sotin
سودان مصرى,Sudan-ı Mısri
سودين,Svodin
سوراتو,Suratu
سورجى,Surci
سوردك,Sürdük
سوردوك,Sürdük
سورطاش,Surdaş
سورك,Siverek
سورك و صمعاد,Siverek ve Samsad (Samad)
سوركى,Sürgü
سورملو,Sürmeli
سورملى,Sürmeli
سورملي,Sürmeli
سورمنه,Sürmene
سوروجوك,Sürüccük
سوروه,Süruh
سورى اطه,Sivriada
سوريجه حصار,Sivricehisar
سوريه,Suriye
سوريه مركز,Suriye merkez
سوزه بولى,Süzebolu
سوستى,Sosti
سوسد,Sused
سوسن,Susan (?)
سوسه,Suse
سوش,Suş
سوطين,Sotin
سوفرانو,Sofrano
سوق الشيوخ,Sukuşşuyuh
سوكنه,Sükne
سوكه,Söke
سوكه آق كوى,Söke Akköy
سوكوتجك,Söğütcük
سوكيلى جلتك,Sökülüçeltik (?)
سوكْنَه,Sükne
سولطه,Solta
سوللى,Süllü
سوله,Süle
سولوش,Söllöş
سولوكلى,Sülüklü
سولوه,Sulova
سومبكى,Sömbeki
سومبكي,Sömbeki
سومه,Soma
سوننه,Sünne
سوهى ميحال,Suhimihal
سوى,Sivi
سويده,Süveyde
سويديه,Süveydiye
سويش,Süveyş
سويلمز,Söylemez
سويله مز,Söylemez
سوَه رَكْ,Siverek
سوپتار,Supetar
سوپيه,Supiye
سوچى,Soçi
سوچيچه,Suçiçe
سوگتلو,Söğütlü
سى ذرون,Sizeron
سيأل,Sial
سيئال,Sial
سيئل,Sial
سيال,Sial
سياه كوه,Siyahkuh
سيبريچه,Sibriçe
سيترونغيلو,Strongilo
سيحات,Seyhat
سيحون,Seyhun
سيخ خليل تكه سى,Şeyhhaliltekkesi
سيد بابا,Seyyidbaba
سيد غازى,Seyyidgazi
سيد غازي,Seyyidgazi
سيدكان,Seydikan
سيدلر,Seyyidler
سيده رى اوه,Sideriova
سيدوسسا,Sidussa
سيدى بن عباس,Seydi bin Abbas
سيدى شهرى,Seydişehri
سيدى شهري,Seydişehri
سيدى قواقى,Seydikavağı
سيدى كوى,Seydiköy
سيديكوى,Seydiköy
سير,Sir
سير ابو شيه,Sir Ebuşiye
سير بنى ياس,Sir Beniyas
سيرب,Sırb
سيرجه,Siraçe
سيركه,Sirge
سيرم,Sirem
سيرنا,Sirina
سيرنيك,Sirinik
سيرنيچه,Sirniçe
سيره برنيچه,Srebreniçe
سيروز,Siroz
سيروز مع اردوى همايون,Siroz maa Ordu-yı Hümayun
سيروز مع تفنّى,Siroz maa Tefenni
سيروز مع درامه,Siroz maa Drama
سيريا,Sirya
سيرينا,Sirina
سيس,Sis
سيس اورته,Sisorta
سيس اورته مع نائبلو,Sisorta maa Naibli
سيسام,Sisam
سيسام اطه سى,Sisam Adası
سيسام امارتى,Sisam Emareti
سيسيان,Sisyan
سيسيى,Sisi
سيعان,Sayan (Seyan (?))
سيفنوس,Sifnos
سيقلاد,Siklad Adaları
سيقلاد آطه لر,Siklad Adaları
سيقلاد اطه لرى,Siklad Adaları
سيكى,Siği
سيكى يا,Sikiya
سيل,Sin (Sil (?))
سيل كبير,Seyl-i Kebir
سيلاح,Silah
سيلاخور,Silahur
سيلس اوزى,Silisözü
سيلفانى,Silifani
سيلفكه,Silifke
سيلوان,Silvan
سيلورى,Silivri
سيليس اوزى,Silisözü
سيليورى,Silivri
سيماو,Simav
سيموش,Simoş
سيمى,Simi
سيمين رود,Siminrud
سين,Sin
سين و چتنه,Sin ve Çetine
سينافير,Sinafir
سينه,Sinne
سينوب,Sinob
سينوب مع نواحى,Sinob maa Nevahi
سيوآس,Sivas
سيواس,Sivas
سيواس ايلى,Sivasili
سيواس عزيزيه,Sivas Aziziye
سيواس مع سيواس ايلى,Sivas maa Sivasili
سيواس مع ناحيۀ حافيك,Sivas maa Nahiye-i Hafik
سيواسلى,Sivaslı
سيوان,Sivan
سيورك,Siverek
سيوروحصار,Sivrihisar
سيورى,Sivri
سيورى آطه,Sivriada
سيورى اطه,Sivriada
سيورى كيسه,Sivrikese
سيوريحصار,Sivrihisar
سيوريطاش مع نواحى,Sivritaş maa Nevahi
سيوط,Suyut
سيوط مع ابو تيج,Suyut maa Ebutic
سيوط مع اَبُو تِيجْ,Suyut maa Ebutic
سيوه رك,Siverek
سيوه رك قره جه طاغ,Siverek Karacadağ
سيووطه,Sivota
سيوير,Sivir
سيِسْ,Sis
سيّد,Seyyid
سيپلاق,Siplak
سيچان,Sıçan
سَاحِلِ حَامِتْ,Sahil-i Hamit
سَاقز,Sakız
سَبْلِينْ,Seblin
سَبْهه,Sebhe
سَبْهَه,Sebhe
سَرْوِيّه,Serviye
سَقلاوه,Şaklava
سَكَدِينْ,Segedin
سَكْسَار,Seksar
سَكْسَارْ,Seksar
سَكْچُويْ,Sekçuy
سَمْنُو,Semnu
سَنْبَلْلُوِين,Senbellavin
سُنَّه,Sünne
سُورَان,Soran
سُيُوطْ,Suyut
سُيُوطْ مع ابو تيج,Suyut maa Ebutic
سِراجيه,Siraciye
سِرت,Sirt
سِرتْ,Sirt
سِرْتْ,Sirt
سِلِسترَه,Silistre
سِيرت,Sirt
سِيسْ,Sis
سپتجى,Sepetci
سپتلى,Sepetli
سپته,Septe
سپتوروس,Siptoros
سپذييا,Speziya
سپصقه,Sipsaka
سپكى,Sepki
سپلاق,Siplak
سپليا,Spilya
سپنديك,Sepenedik
سپنى لونغه,Spinilonga
سپوت,Sopot
سپورن,Süpüren
سپيرا,Spira
سپيليا,Spilya
سچشته,Seçişte
سچن,Seçen
سڭر مع دوشنبه,Senir maa Düşenbe
سگدين,Segedin
سگود,Söğüd
شاب,Şab
شاب ابو فنده را,Şab-ı Ebufindira
شاب الكبير,Şabülkebir
شاب على,Şab-ı Ali
شاب محمود,Şab-ı Mahmud
شاب موسايق,Şab-ı Musayık
شادوان,Şadvan
شادي اباد,Şadiabad
شارحوراد,Şarhorad
شارقاد,Şarkad
شاركوى,Şarköy
شارلد,Şarlod
شارلى,Şarlı
شارو,Şaro
شاروار,Şarvar
شاروى,Şarvi
شاروى مع افلطار,Şarvi maa Aflatar
شارويز,Şarviz
شاطى,Şatı
شاعب و فرموده,Şayibli (Şaib) ve Fermude
شاغ,Şağ
شاغور,Şagur
شاغوينه,Şagovine
شاقبن,Şakban
شالغو,Şalgo
شاله شوش,Şaleşoş
شام,Şam
شام بيادى,Şambayadı
شام شريف مع تركمانان,Şam (Şam-ı Şerif) maa Türkmanan
شامبيادى,Şambayadı
شاملى,Şamlı
شامليجه,Şamlıca
شاميه,Şamiye
شانوش هزه,Şanoşheze
شاه باغى,Şahbağı
شاه يول,Şahyol
شاها,Şaha
شاهان,Şahan
شاهرود,Şahrud
شاهمه,Şahme
شاهنلر,Şahinler
شاهويك,Şahovik
شاهين,Şahin
شاهينلر,Şahinler
شاور,Şavur
شاوشاد,Şavşad
شاوشيد,Şavşad (Şavşid)
شايبلو,Şayibli
شاپ,Şap
شاپچه,Şapça
شبام,Şibam
شبخانه,Şabhane
شبرخيت,Şübrehit
شبسات,Şebsat
شبش مع لغوش,Şebiş maa Lugoş
شبش و لوغوش,Şebiş ve Lugoş
شبقه,Şıbka
شبه نك,Şibenik
شبين القُمْ,Şibinülkum
شبين قره حصار,Şebinkarahisar
شتاق,Şatak
شتر بصان,Şütürbasan
شترى,Şeteri
شتريان,Şitriyan
شتق (؟),Şatak (?)
شتوار,Şetvar
شجر,Şecer
شحار,Şahar
شحنه چمنى,Şahneçimeni
شداده,Şeddade
شرابخانه,Şarabhane
شراه,Şarah
شربان,Şerban
شربتين,Şerbetin
شربين,Şirbin
شرره,Şirare
شرش و بنى منصور,Şeriş ve Benimansur
شرعب,Şerab
شرفان,Şerefan (?)
شرفصنقور,Şerefsunkur
شرفيه,Şerefiye
شرق,Şark
شرق جانبى عربانى,Şark Canibi Urbanı
شرقئ امد,Şarki-i Amid
شرقى باره,Şarkipare
شرقى پاره,Şarkipare
شرقيه,Şarkiye
شرقيّه,Şarkiye
شرقيپاره,Şarkipare
شرقپاره,Şarkipare
شرلوت,Şorlut
شرناق,Şırnak
شروان,Şirvan
شرور,Şerur
شروقه,Şiroka
شروى,Şirvi
شروي,Şirvi
شريان مع الشكرد,Şiryan maa Eleşkird
شرين,Şirin
شرّا,Şerra
شستان,Şestan
ششان,Şişan
شط الادهم,Şattüledhem
شط العرب,Şattülarab
شط العطشان,Şattülatşan
شط المكار,Şattülmekar
شط طويل,Şatt-ı Tavil
شطرة العماره,Şatratülamare
شطرة المنتفك,Şatratülmüntefik
شطك,Şetek
شطى,Şatı
شطيۀ جزاير,Şattıye-i Cezayir
شطّ العرب,Şattülarab
شطّ جارور,Şatt-ı Carur
شطّ طويل,Şatt-ı Tavil
شعاره,Şaara
شعان,Şuan
شعب ابو فندراع,Şab-ı Ebufindira
شعب الصبار,Şabüssabbar
شعب الصغير,Şabüssagir
شعب العبيط,Şabülabit
شعب القرمه,Şabülkarme
شعب الكبير,Şabülkebir
شعب بعركوت,Şab-ı Baarkut
شعب خمسة,Şab-ı Hamse
شعب ذلو,Şab-ı Zelu
شعب شجر,Şab-ı Şecer
شعب شيبه,Şab-ı Şeybe
شعب صبح,Şab-ı Subh
شعب طويل,Şab-ı Tavil
شعب عربيد,Şab-ı Arbid
شعب عمر,Şab-ı Ömer
شعب عنبر,Şab-ı Anber
شعب قصير,Şab-ı Kasir
شعب قميري,Şab-ı Kumeyri
شعب لوكا,Şab-ı Luka
شعب مبيت,Şab-ı Mebit
شعب معراس,Şab-ı Miras
شعب ناصر,Şab-ı Nasır
شعبان,Şaban
شعبان اوزى,Şabanözü
شعبان اوزى مع قورى جاى,Şabanözü maa Kuruçay
شعرا,Şara
شعراويه,Şaraviye
شعراويه شرقيه,Şaraviye-i Şarkiye
شعراويه غربيه مع بنى صعب,Şaraviye-i Garbiye maa Benisaab
شعراويه غربيّه,Şaraviye-i Garbiye
شعراويّه,Şaraviye
شعراويۀ شرقيه,Şaraviye-i Şarkiye
شعراويۀ غربيه,Şaraviye-i Garbiye
شغر,Şugur
شغور,Şugur
شغين,Şogayn
شفا الشمالى,Şifaüşşimali
شفا الغربى,Şifaülgarbi
شفا قبلى,Şifa Kıbli
شفا وغور,Şifa ve Gur
شفاتيه,Şifatiye
شفادره,Şifadere
شفاشفاعمرو,Şifaamr
شفاعمر,Şifaamr
شفاعمرو,Şifaamr
شفى عمر,Şifaamr
شقادره,Şakadıra
شقاغى,Şikaği
شقاقلى,Şikaklı
شقلاوه,Şaklava
شقلوش,Şikloş
شقيف,Şakif
شقيق,Şukayk
شكر,Şeker
شكر اوبه,Şekeroba
شكرحاني,Şekerhanı
شكرلى,Şekerli
شكفتى,Şikefti
شكوفتى مع صور و طاق,Şikefti (Şikufti) maa Sur ve Tak (?)
شكى,Şeki
شكيو,Şekuyo
شلندره,Şilindire
شلنديره,Şilindire
شلنمون,Şelenmun (?)
شلوه,Şelve
شليكان,Şilikan
شلين,Şelin
شلّلى,Şelli
شمائل,Şemail
شماخى,Şemahı
شماخي,Şemahı
شمال,Şimal
شمامك,Şemamek
شماندره,Şimandra
شمدينان,Şemdinan
شمدينان مع كوارى و هريكى,Şemdinan maa Gerdi (Gevari) ve Heriki
شمر,Şummar
شمس الدين,Şemseddin
شمس الدّين,Şemseddin
شمسطار,Şimistar
شمسيات,Şemsiyat
شمشكى عشيرتى,Şemişki Aşireti
شمك,Şümeg
شمكان,Şemkan
شمكور بصان,Şemkürbasan
شمنطورنه,Şimontorna
شمنى,Şumnu
شمنى مع نواحى,Şumnu maa Nevahi
شموشقه,Şomoşka
شموكوار,Şomogivar
شمون طورنه,Şimontorna
شمونطورنه,Şimontorna
شمونطورنه و ازور,Şimontorna ve Ozora (Ozor)
شموُنْطورنه,Şimontorna
شميران,Şemiran
شميران مع شيخ ميدان و عشيرت چاقير,Şemiran maa Şeyhmeydan ve Aşiret-i Çakır
شميطيه,Şumaytiye
شنافيه,Şinafiye
شنكرك,Şingerk
شنكين,Şengin
شنوثانتى,Şenusanti (?)
شنون,Şunun
شه ربا,Şerba
شها,Şaha
شهاب الدين,Şihabüddin
شهبا,Şehba
شهر بازار,Şehirpazar
شهر بهسنى,Şehr-i Behisni
شهر زور,Şehr-i Zor
شهر قشله,Şehirkışla
شهر قيشله,Şehirkışla
شهر ملاطيه,Şehr-i Malatya
شهر پازار,Şehirpazar
شهر پازار مع قره چولان و برگوه,Şehirpazar maa Karaçulan ve Berguh
شهراباد,Şehrabad
شهرامانتى,Şehremaneti
شهران,Şehran
شهران مع حرير,Şehran maa Harir
شهرباد,Şehrabad
شهربان,Şehriban
شهربانى,Şehribani
شهرزور,Şehr-i Zor
شهرقشله,Şehirkışla
شهركوى,Şehirköy
شهركوي,Şehirköy
شهركويى,Şehirköy
شهرلو,Şehirli
شهرويران,Şehirviran
شهود,Şuhud
شهودلو,Şuhudlu
شو آن,Şuan
شواطيه,Şuvatiye
شواق,Şavak
شوان,Şivan
شوبك,Şubek
شوبيك,Şubin
شوبين,Şubin
شوتك,Şotik
شوتيك,Şotik
شوحه مليحه,Şuha Meliha
شوران,Şuran
شوربا,Şorba
شوربا مع سَمَرْ اوزى,Şorba maa Semerözü
شورح,Şurah
شورلوط,Şorlut
شوره,Şure
شوره كل,Şüregel
شوره مع بوجاق,Şure maa Bucak
شوره گيل,Şüregel
شوريط,Şevarit
شوش,Şuş
شوشاد,Şavşad
شوشار,Şuşar
شوغاين,Şogayn
شوف,Şuf
شوف ابن معن,Şuf İbn-i Maan
شوف ابن معن و شوف الحيطى و شوف الشويحانى,Şuf İbn-i Maan ve Şufülhayti ve Şuf-i Şüveyhani
