osmanlica,transkripsiyon
بَدْرِشين,Bedrişin
بدوستان,Bedustan
بكان,Began
بكه,Bege
بكي,Bege/Begey
بهسنى,Behisni
بهسني,Behisni
بهسنى مع عشائر,Behisni maa Aşayir
بهسنى و حصنمنصور,Behisni ve Hısn-ı Mansur
بهسنى وسورك,Behisni ve Siverek
بهسنى,Behisni/Siverek
بهلوليه,Behlüliye
بهلوليّه,Behlüliye
بهلونيّه,Behlüliye/Behlüniyye
بهمرد,Behmerd
بَهْنَسَا,Behnesa
بهنساويه,Behnesa/Behnesaviye
بهنساويّه,Behnesa/Behnesaviye
بهرامكى,Behramki
بهرامگى,Behramki
بهرامگى,Behramki/Behramgi
بهرماز,Behrimaz
بهرمن,Behrimaz/Behremen
بهره من,Behrimaz/Behremen
بكدك دربندى,Bekdik Derbendi
دربند بكدك,Bekdik Derbendi/Derbend-i Bekdik
بكر,Bekir
بكيش,Bekiş
بكسا,Beksa
بكتاش,Bektaş
بل,Bel
پل,Bel/Pel
بلابرده,Belabırda
بلااستنه,Belaistene
بلا استنه,Belaistene
بيلي استنه,Belaistene/Bilaistene
قلعه بلا استنه,Belaistene/Kale-i Belaistene
قلعۀ بلا استنه,Belaistene/Kale-i Belaistene
قلعۀ بلااستنه,Belaistene/Kale-i Belaistene
بلاسنجه,Belasniçe
بلاطنس,Belatnis
بلباس عشيرتى,Belbas Aşireti
بلجنه مارى طاغى,Belcene Mari Dağı
بلده,Belde
بلدروز,Beledruz
بلد روز,Beledruz
بلادِ روزين,Beledruz/Bilad-ı Ruzin
بلد الدوالى,Beledüddevali
بلدالعناب,Beledülannab
بلدالانب,Beledülannab/Beledülanab
بلك,Belen
بلن,Belen
بلان,Belen
بيلان مع بقراص,Belen (Bilan) maa Bakras
بيلان مع بقراس نام ديكر تلك و ناحيۀ اسكندرون,Belen (Bilan) maa Bakras nam-ı diğer Tilek ve Nahiye-i İskenderun
بيلان مع ناحيۀ عزير,Belen maa Nahiye-i Özerili/Bilan maa Nahiye-i Üzeyr
بيلان,Belen/Bilan
بيلان,Belen/Bilan
بِيلاَنْ,Belen/Bilan
بلنه,Belene
بلنجه (؟),Beleniçe (?)
بيلانكوى,Belenköy (Bilanköy)/Feke
بيلانكوى,Belenköy (Bilanköy)/Kozan-ı Garbi
بكلان كوى,Belenköy/Beğlenköy
بيلانكوى,Belenköy/Bilanköy
بيلان كوى,Belenköy/Bilanköy
فكه,Belenköy/Feke
بلغراد دلاموج,Belgrad-ı Dalamuç
دلاموچ,Belgrad-ı Dalamuç
بلغراد دلاموچ,Belgrad-ı Dalamuç
بلغراد,Belgrad-ı Dalamuç (Belgrad)/Bolamaç
دلاموچ,Belgrad-ı Dalamuç (Belgrad)/Dalamuç
بلغراد,Belgrad-ı Dalamuç (Belgrad)/Dalamuç
بلغراد,Belgrad-ı Dalamuç/Belgrad
بلغراد,Belgrad-ı Dalamuç/Belgrad
دلاموج,Belgrad-ı Dalamuç/Dalamuç
دلاموچ,Belgrad-ı Dalamuç/Dalamuç
دلاموج بلغراد,Belgrad-ı Dalamuç/Dalamuç Belgrad
قلعۀ دلاموج بلغراد,Belgrad-ı Dalamuç/Dalamuç Belgrad Kalesi
واروش قلعۀ بلغراد,Belgrad-ı Dalamuç/Varoş-ı Kale-i Belgrad
بلغراد اونكروس,Belgrad-ı Üngürüs
بلغراد انگروس,Belgrad-ı Üngürüs
بلغراد مع حصارجق,Belgrad-ı Üngürüs (Belgrad) maa Hisarcık
بلغراد الانغروس,Belgrad-ı Üngürüs (Belgradülüngürüs)
نفس بلغراد انكروس,Belgrad-ı Üngürüs merkez
نواحئ بلغراد انكروس,Belgrad-ı Üngürüs nahiyeleri
بلغراد,Belgrad-ı Üngürüs/Belgrad
بلغراد,Belgrad-ı Üngürüs/Belgrad
بلغراد جهاد اباد,Belgrad-ı Üngürüs/Belgrad-ı Cihadabad
بلغراد طونه,Belgrad-ı Üngürüs/Belgrad-ı Tuna
قلعۀ بلغراد,Belgrad-ı Üngürüs/Belgradkalesi
قلعۀ بلغراد,Belgrad-ı Üngürüs/Kale-i Belgrad
بلغرادجق,Belgradcık
بلغرادچق,Belgradcık
بلغراد,Belgradcık/Belgrad
بلغرادچق,Belgradcık/Belgradçık
بلنه,Beline
بلينه,Beline
بيلينا,Beline/Bilina
پلنه,Beline/Peline
بلقا,Belka
بلقاع,Belka
بلقا مع  سلط,Belka maa Salt
بلقا,Belka/Nablus
بلقاص,Belkas
بيل قواق,Belkavak
بللوط پيكارى,Bellutpınarı
بلوپاوليك,Belopavlik
زته,Belopavlik/Zeta
بلوپاوليك,Belopavlik/Zeta
بلوپولو,Belopulo
قايمنى,Belopulo/Kaymeni
قاميوئى اطه لرى,Belopulo/Kaymeni (Kamyoi) Adaları
پيلو,Belopulo/Pilo
راپله,Belopulo/Raple
بلو ركنارسو (؟),Beloriknarso (?)
بلووا,Belova
بيلويران,Belviran
بيلوران,Belviran
بيل ويران,Belviran
بلويران,Belviran
بل ويران,Belviran
بلوران,Belviran
بيل ويران,Belviran
بل ورن,Belviran/Belveren
جويران,Belviran/Ceviran
بنابروزه,Benaberuze
بناجو,Benacu
بنالسخو,Benalesho (?)
بنانى,Benani
بند بالا كريوه,Bend-i Bala Gerive
بنده,Bende
بندر,Bender
بَندَر,Bender
بندر و ايوانشتى,Bender ve İvaneşti
بندركلى,Bendereğli
بنده اركلى,Bendereğli
بند ارگلى,Bendereğli
بندراركلى / بندركلى,Bendereğli
اركلى,Bendereğli/Ereğli
اركلو,Bendereğli/Ereğli
ارگلى,Bendereğli/Ereğli
بندركلى,Bendereğli/Ereğli
قره دكز اركلى,Bendereğli/Karadeniz Ereğli
شهراركلو,Bendereğli/Şehr-i Ereğli
بند ماهى,Bendimahi
بنديه,Bendiye
بنفشه,Benefşe
منواسيه,Benefşe/Menavasye
منواشيه,Benefşe/Menavaşye
مونمواسيه,Benefşe/Monemvasiya
بنگله,Bengale
بنها العسال,Benha el-Asal
بَنِى العسال,Benha el-Asal/Beni el-Asal
بنى العَسال,Benha el-Asal/Beni el-Asal
بنى عبدلله,Beniabdullah
بنى عَبيد,Beniabid/Beniubeyd
بنى على,Beniali
بنى علوان,Benialvan
بنى عاتكه,Beniatike
بنى عاتكه و كفارات,Beniatike ve Kefarat
بنى عوام,Beniavam
بنى عوام,Beniavam/Şifadere
بنى بهلول,Benibehlül
بنى جحمه,Benicehme
بنى جهمه,Benicehme
بنى جهيمه,Benicehme/Benicehime
بنى جهما,Benicehme/Benicehma
بنى اسد,Beniesed
بنى حبير,Benihabir
بنى حرام,Beniharam
بنى حارث,Beniharis
بنى حارث,Beniharis
بنى حارث و بنى حشيش,Beniharis ve Benihaşiş
بنى حارث و بنى حبش,Beniharis ve Benihaşiş (Benihabeş)
بنى حارث و بنى حسين,Beniharis ve Benihaşiş (Benihüseyin)
بنى حارث القبلا و الشمال,Beniharisülkıbela ve eş-Şimala
بنى حسن,Benihasan
بنى حشيش,Benihaşiş
بنى  حبش,Benihaşiş/Benihabeş
بنى هلال,Benihilal
بنى قيس,Benikays
بنى كلاب,Benikilab
بنى كنانه,Benikinane
بنى كنعان,Benikinane/Benikenan
بنى لام,Benilam
بنى الاعسر,Benilaser
بنى اعسر,Benilaser/Beniaser
بنى العوام,Benilavvam
بنى مالك,Benimalik
بنى مالك الاشراف,Benimalik/Benimaliküleşraf
وادى بنى مالك,Benimalik/Vadi-i Benimalik
بنى مالك الصدير,Benimaliküssadir
بنى منصور,Benimansur
بني منصور,Benimansur
بنى مَظَرْ,Benimazar
بنى مقلد,Benimuklid
بنى مره وبنى سالم,Benimürre ve Benisalim
بنى نشيه,Beninişye
بنى عمر,Beniömer
بنى ربيعه,Benirebia
بنى صعب,Benisaab
بنى صعب,Benisaab
نفس بنى صعب,Benisaab merkez
بنى سعيد,Benisaid
بنى صرما,Benisarma
بنى صرمه,Benisarma
بنى سويف,Benisüveyf
بنى سُوَيفْ,Benisüveyf
بنى سُوَيْف,Benisüveyf
بنى سُوَيف,Benisüveyf
بنى شهر,Benişehr
بنى شهر,Benişehr
بنى تيم,Beniteym
بنى عصبه,Beniusbe
بنى زرد,Benizerd
بنى زيد,Benizeyd
بنقويك,Benkovik
بره ده,Berada
براده,Berada
برادوست,Beradost
براروز وزين,Beradost ve Deyr/Beraruz ve Zeyn
بارادوست,Beradost/Baradost
بردوس,Beradost/Berados
برادوسي,Beradost/Beradosi
براعصه,Beraisa
برامبيل,Berambil
بران,Beran
برانه,Berane
برانه,Berane
برانه,Berane/Vasivoyik
برات,Berat
برات مع آولونيه,Berat maa Avlonya
برات مع مزاكيه و ملقسه,Berat maa Mujake (Mujakiye) ve Malakastra (Malakasa)
نفس برات,Berat merkez
ارنبود بلغرادى,Berat/Arnabud Belgradı
ارنود بلغرادى,Berat/Arnavud Belgradı
برات,Berat/Arnavud Belgradı
بلغراد,Berat/Belgrad
بلغراد ارنبود,Berat/Belgrad-ı Arnabud
بيلغراد ارنود,Berat/Belgrad-ı Arnavud
بلغراد ارنود,Berat/Belgrad-ı Arnavud
بلغرادجق,Berat/Belgradcık
بلغراد الارناود,Berat/Belgradülarnavud
برازكيرد,Berazgird
ناحيه برازكرد,Berazgird/Nahiye-i Berazgird
بربر,Berber
بربره,Berber/Berbere
برچين,Berçin
بردع,Berda
بردعه,Berda
بردنچ,Berdeniç
برديح,Berdeniç/Berdih
برديك,Berdik
بَرْدِيسْ,Berdis
بَرْديس,Berdis
بوريس,Berdis/Boris
بردونه,Berdone
برق بسرمن,Berekbösörmen
بركه,Bereke
بركتلى,Bereketli
بركتلو,Bereketli
بره كتلو,Bereketli
بره كتلو مع چام اردى,Bereketli maa Çamardı
بركت اوغلى,Bereketoğlu
بره من,Beremen
برندي,Berendi
برندى,Berendi
برندى و اياس,Berendi ve Ayas
برنوار,Berenvar
بره سيمين,Beresimin
بره زن,Berezen
پره زن,Berezen/Perezen
پره زن اطه سى,Berezen/Perezen Adası
بره زنجه,Berezenice
بره زنيجه,Berezenice
بره زنچه,Berezenice
برزلوق,Berezluk
برژلوق,Berezluk/Berejluk
برغمه,Bergama
برغمه,Bergama
نفس برغمه,Bergama merkez
بيرغمه,Bergama/Birgama
بركجى,Bergici
برغوس كبير,Bergos-ı Kebir
برغوس صغير,Bergos-ı Sagir
بركشاط,Bergüşat
برخو,Berho
بريد و الوت,Berid (?) ve Alut
برطان,Beritan
برويقا,Beriyaka/Berüyaka
برييه,Beriye
بركان,Berkan
برقاس,Berkas
پرقاس,Berkas/Perkas
برقوفچه,Berkofça
برقوفجه,Berkofça
بَرْقُوفچَه,Berkofça
برقوفچه,Berkofça/Kula
ترقوفجه,Berkofça/Terkofça
برنه,Berne
برّشامى,Berr-i Şami
بري,Berri
برسيس,Bersis
برتيز,Bertiz
برتز,Bertiz
قورجق (؟),Bertiz (Kurucak (?))
بزتولوز,Bertiz/Beztoloz
بيرتيز,Bertiz/Birtiz
پارتير,Bertiz/Partız
پارتير,Bertiz/Partiz
بَرُمّانه,Berummane
بَرُمّانَه و رأس و شبانِيّه و قالوغَو و مُتَيْن و قَرْنائِل,Berummane ve Ras ve Şebaniye ve Kaluga ve Müteyn ve Karnail (Kamail)
بروزه,Beruze
برزنجه,Berzence
بسارابيا,Besarabya
بسارابيه,Besarabya
بسپريم,Besprim
پسپريم,Besprim
پسپريم,Besprim/Pesprim
بش آطه لر,Beş Adalar
شليدونيا اطه لرى,Beş Adalar/Şilidonya Adaları
بش ديوان,Beşdivan
بشديوان,Beşdivan
بشكطاش,Beşiktaş
بشير,Beşir
بشيرى,Beşiri
بشرى,Beşiri
بشيرى مع نواحى,Beşiri maa Nevahi
بشر,Beşiri/Beşir
بش قباق,Beşkabak
بش قوناق,Beşkonak
بشقوناق,Beşkonak
بش پارمق,Beşparmak
بك,Bey
بيك,Bey
بك طاغلرى,Bey Dağları
بيالميك,Beyalemik
بيان,Beyan
بياض اطه,Beyazada
بياض قيا,Beyazkaya
بياض كوى,Beyazköy
بياض صو,Beyazsu
بكجه,Beyce
يكيجه,Beyce/Yenice
بيكجگز,Beyceğiz
بگطاغى,Beydağı
بك طاغى,Beydağı
بكطاغى,Beydağı
بيكلك (؟),Beylek (?)
بك اوغلى,Beyoğlu
بكپازارى,Beypazarı
بك بازارى,Beypazarı
بك پازارى,Beypazarı
بكبازارى,Beypazarı
بگپازارى,Beypazarı
بكبازار,Beypazarı/Beybazar
بك پيكارى,Beypınarı
بكپنارى,Beypınarı
بيروت,Beyrut
بيروت,Beyrut
بيروت,Beyrut merkez
نفس بيروت,Beyrut merkez
بيروت رشاديه,Beyrut Reşadiye
رشاديه,Beyrut Reşadiye/Reşadiye
بيروت و صيدا,Beyrut ve Sayda
بكشهرى,Beyşehri
بگشهرى,Beyşehri
بكشهري,Beyşehri
بك شهرى,Beyşehri
بيك شهرى,Beyşehri
بكشهرى مع چمن,Beyşehri maa vilayet-i Çimen
نفس بكشهرى,Beyşehri merkez
بكشهرى و سيدى شهرى,Beyşehri ve Seydişehri
بكيشهرى,Beyşehri/Beyişehri
بكشهر,Beyşehri/Beyşehir
شهر,Beyşehri/Şehir
بيت جبرين,Beyt-i Cibrin
بيت جرين,Beyt-i Cibrin/Beyt-i Cirin
بيت ابو علوانه و توابعى,Beyt-i Ebuulvane ve Tevabii
بيت اعطاب,Beyt-i Itab
بيت الدين,Beytüddin
بيت الفقيه,Beytülfakih
بيت فقيه,Beytülfakih/Beyt-i Fakih
بيت اللحم,Beytüllahm
بيت لحم,Beytüllahm/Beyt-i Lahm
بيت الشباب,Beytüşşebab
بيت الشباب مع كويان سندى و كولملى,Beytüşşebab maa Goyan-ı Sindi ve Gölmeli (?)
بيت الشباب,Beytüşşebab/Livin
بيت الشلف,Beytüşşilif
بيت الشلق و محالبه,Beytüşşilif ve Mehalibe/Beytüşşalak ve Mehalibe
جزاير حريان و مريان,Bezahlefan/Cezayir-i Haryan ve Meryan
بزنيك,Bezenik
بزم الغربى,Bezmülgarbi
برجقه,Bırçka
برچقه,Bırçka
برجقا,Bırçka
برجسقه,Bırçka/Berceska
به رچقه,Bırçka/Berçika
پريچقه,Bırçka/Priçka
واروش قلعۀ پريچقه,Bırçka/Varoş-ı Kale-i Priçka
برواراوه,Bırvarava
برونيك,Bırvenik
بروانيك,Bırvenik
بروه نيك,Bırvenik
بروانيق,Bırvenik/Bırvanık
برزاوه,Bırzava
برزوه,Bırzava
بطح,Bıttıh
بيبول,Bibol
ببور,Bibol/Bibor
ببلو,Bibol/Büblüv
ببلو ايلى,Bibol/Büblüvili
بُبْلُوْ ايلى,Bibol/Büblüvili
بيجاد,Bicad
بجنى,Bicni
بيجور مع منوف,Bicur maa Menuf
بيجُور مع منوف,Bicur maa Menuf
بچقوفجه,Biçkofça
بدعه,Bida
البداع,Bida/el-Bida
بيدلف اطه لرى,Bidelf Adaları
بيده وى,Bidevi
قره اغاج,Bidevi/Karaağaç
بيغا,Biga
بيغا,Biga
نفس بيغا,Biga merkez
پغه شهرى,Biga/Pigaşehri
بيغاديج,Bigadiç
بيغادج,Bigadiç
بيغاديچ,Bigadiç
بيغالى,Bigalı
بيغالو,Bigalı
بهار,Bihar
بيحار,Bihar
بحار,Bihar
بهكه,Bihke
نفس بهكه,Bihke merkez/Bihac
قلعۀ بهكه,Bihke/Kale-i Bihke
بهلشته,Bihlişte
بهلشته,Bihlişte/Vılkaşin
ولقاشين,Bihlişte/Vılkaşin
ولقاشن,Bihlişte/Vılkaşin
بيهور,Bihor
بهور,Bihor
بحور,Bihor
بهورنه,Bihorine
بهورينه,Bihorine
بحورينه,Bihorine
بهورينه,Bihorine
بهرينه و قورپنه,Bihorine ve Krupine (Kurpine)
بوحورينه,Bihorine/Buhorine
بقاع,Bika
بقاع شرقى مع  بعلبك,Bika-ı Şarki maa Baalbek
اقليم بقاع,Bika-i Garb/İklim-i Bika
بقاع غربى,Bika-i Garbi
غرب البقاع,Bika-i Garbi/Garbülbika
بقاع شرقى,Bika-i Şarki
بقاع شرقى,Bika-i Şarki
بقاع شرقى مع  بعلبك,Bika-i Şarki maa Baalbek
بيكارى ايلى,Bikariili
بقاع العزيز,Bikaulaziz
بقاع العزيز,Bikaülaziz
بُقاع العزيز,Bikaülaziz
بقاع العزيز معلقه,Bikaülaziz-i Muallaka
قطاع الطريق,Bikaülaziz/Kuttauttarik
بلاد خمسه,Bilad-ı Hamse
بلاد همدان,Bilad-ı Hemdan
همدان,Bilad-ı Hemdan/Hemdan
بلاد سباء,Bilad-ı Seba
بلاد ثلاثه,Bilad-ı Selase
بلاد البربر,Biladülberber
بلاد البستان,Biladülbostan
بلاد بستان,Biladülbostan/Bilad-ı Bostan
بلاد الرؤس,Biladürruus
بلاد الرؤس و بنى بهلول,Biladürruus ve Benibehlül
بلاد الرؤس و بنى بهلول,Biladürruus ve Benibehlül
بنى بهلول و بلاد الروس,Biladürruus ve Benibehlül/Benibehlül ve Biladürruus
بلاوى,Bilavi
بِلبيس,Bilbeys
بِلْبَيس,Bilbeys
بالباس,Bilbeys/Balbas
بله,Bile
بيله جك,Bilecik
بلجك,Bilecik
بيلجك,Bilecik
بلاجك,Bilecik
بله جك,Bilecik
نفس بيله جك,Bilecik merkez
ارطغرل,Bilecik/Ertuğrul
بيله كه,Bileke
بيلكه,Bileke
بليجان,Bilican
بليجان,Bilican
ابليجان,Bilican/İblican
بيلجه,Bilice
بليده,Bilida
بللسمر,Billesmer
بيك بوغا,Binboğa
بنغازى,Bingazi
نفس بنغازى,Bingazi merkez
بنغازى,Bingazi/Berka
بيك كول,Bingöl
بنكدره,Binküdre
بنكدره و طائفۀ باجلان و محلان,Binküdre ve Bacıvan (Taife-i Bacilan) ve Mahlan
بكدره,Binküdre/Beydere
بيكدره,Binküdre/Bikdere
بيكدره,Binküdre/Biküdre
نيكدره,Binküdre/Nikdere
بنشيه,Binşiye
بنت عقفش,Bint-i Akfeş
بنت قاطوف,Bint-i Katuf
بنت اصنوع,Bint-i Usnu
بنت الذل,Bintüzzel
بيرا وجبل قدس,Bira ve Cebel-i Kudüs
براستك,Birastik
برچه,Birçe
بيرچه,Birçe
برجه,Birçe
پرچه مع كنزين,Birçe (Pirçe) maa Knezin
برچه مع كنزين,Birçe maa Kenzin
برجه مع كنزين,Birçe maa Knezin
پرچه,Birçe/Pirçe
ولاسه نيچه,Birçe/Vlaseniçe
ولاسنيچه,Birçe/Vlaseniçe
بيره و كهيد,Bire ve Gühid (?)
بيره جك,Birecik
بره جك,Birecik
بيره جك تلكوران,Birecik-i Tilgören
بَرَه,Birecik-i Tilgören/Bere
بريه جك,Birecik-i Tilgören/Berriyecik
بيره,Birecik-i Tilgören/Bire
بره جك,Birecik-i Tilgören/Birecik
بيره جك,Birecik-i Tilgören/Birecik
بَيْرَه جك,Birecik/Beyrecik
بيله جك,Birecik/Bilecik
بيرة الفرات,Birecik/Biretülfırat
بئرة الفرات,Birecik/Biretülfırat
بيره جك,Birecik/Biretülfırat
بئرة الجرد,Biretülcürd
بيرة الجرد,Biretülcürd
بيرين,Bireyn
بيرين مع جبل بارشه,Bireyn maa Cebel-i Barişa
بيرين مع ناحيۀ بارشه,Bireyn maa Nahiye-i Barişa
بيرين مع ناحيۀ جبل بارشه,Bireyn maa Nahiye-i Cebel-i Barişa
بركى,Birgi
بيركى,Birgi
بيركي,Birgi
برلك,Birgi/Birlik
بيرغومه,Birgoma
برغومه,Birgoma
بيرغومه و يواش الى,Birgoma ve Yavaşili
بربر,Biribir
بيرمانه,Birmana
بيروش عشيرتى,Biroş Aşireti
بيرون باب له,Birun-ı Bab-ı Leh
بيرون باب روس,Birun-ı Bab-ı Rus
بيرون [-بار],Birun-ı Bar/Birun
بيرون يازلوفچه,Birun-ı Yazlofça
بيرون آباد,Birunabad
بورنوه,Birunabad/Bornova
برون آباد,Birunabad/Burunabad
برون اباد,Birunabad/Burunabad
برون اباد,Birunabad/Burunabad
بيرونئ سيواس,Biruni-i Sivas
بئر السبع,Birüsseba
برزيه,Birziye
بِرزَه,Birziye/Birze
برزه,Birziye/Birze
برزى,Birziye/Birzi
برزيه,Birziye/Cebel-i Hamis
بيسان,Bisan
بيسان مع  جنين,Bisan maa Cenin
بسكنتا,Biskinta
بسميل,Bismil
بي سوچنه,Bisoçna
بستريچه,Bistriçe
بازار بستريجه,Bistriçe/Pazar-ı Bistriçe
بيشه,Bişe
بيشة النخل,Bişe/Bişetünnahl
بشرى,Bişerri
بشراى,Bişerri
بشرى شماليه و جنوبيه,Bişerri/Bişerri-i Şimaliye ve Cenubiye
بشخابور,Bişhabur
بشتريچه,Biştriçe
بتليس,Bitlis
بدليس,Bitlis
نفس بتليس,Bitlis merkez
بدليس,Bitlis/Bidlis
بيتوش,Bituş
بياو,Biyav
بيلا,Biyela
بيزه رى,Bizeri
بزرى,Bizeri
بيزرطه,Bizerta
بيزرط,Bizerta/Bizert
بيزرَطْ,Bizerta/Bizert
بيزرطه مع پورت فارينا,Bizerta/Bizerta maa Port Farina
بزينه رود,Bizinerud
بلاج,Blac
بلاچ,Blac
بلاغاى,Blagay
بلاغاي,Blagay
بلغاى,Blagay
بلغاى,Blagay
بلغاى و چرنيجه,Blagay ve Çerniçe/Groçika (?)
بلقاى,Blagay/Blakay
بولاغاى,Blagay/Bulagay
واروش بلاغاى,Blagay/Varoş-ı Blagay
واروش قلعۀ بلاغاى,Blagay/Varoş-ı Kale-i Blagay
بلاژوى بازار,Blajuypazar
بازار بلاژوى,Blajuypazar/Pazar-ı Blajuy
بلاته,Blata
بلاي بارلته,Blaybarlete
بلاى بارلت,Blaybarlete/Blaybarlet
قلعۀ بيلاي,Blaybarlete/Kale-i Blay
قلعۀ بلاي بارلته,Blaybarlete/Kale-i Blaybarlete
بلاى بلاغاى,Blayblagay
بلاي بلاغاي,Blayblagay
بيلاي بلاغاي,Blayblagay
بيلاي بيلاغاي,Blayblagay
بلاى,Blayblagay/Blay
بيلاى,Blayblagay/Blay
قلعۀ بلاي بلاغاى,Blayblagay/Kale-i Blayblagay
قلعۀ بلاى بلاغاى,Blayblagay/Kale-i Blayblagay
قلعۀ بيلاي بيلاغاي,Blayblagay/Kale-i Blayblagay
بلاى بونيك,Blaybunik
بلاى,Blaybunik/Blay
قلعۀ بونيك بيلاى,Blaybunik/Kale-i Bunikblay
قلعۀ بونيك بلاي,Blaybunik/Kale-i Bunikblay
بله ترنيك,Bleternik
بوبان,Boban
بوبوفجه,Bobofça
بوبوفچه,Bobofça
بوبوجه,Bobofça/Bobovce
بوبوچه,Bobofça/Bobovçe
پوبوفجه,Bobofça/Pobofca
پوبوفچه,Bobofça/Pobofça
بوچاچ,Boçaç
واروش قلعۀ بوچاچ,Boçaç/Varoş-ı Kale-i Boçaç
بوچالا,Boçala
بوچ وديك,Boçvodik
بوچ,Boçvodik/Boç
بوچ,Boçvodik/Boç
پوج,Boçvodik/Poc
بوده (؟),Bode (?)
بودييه,Bodiye
بودوق,Bodok
بودروم,Bodrum
بودرم,Bodrum
بودورم,Bodrum
بدوروم,Bodrum/Bodurum
بودورم,Bodrum/Bodurum
بودوروم,Bodrum/Bodurum
بوغارينه,Bogarine
بغارينه,Bogarine
بوغوميل,Bogomil
بوغوميل,Bogomil/Suğla
بوغوروديچه,Bogorodiçe
بوغا,Boğa
بوغه,Boğa
بوغاز,Boğaz
بوغاز,Boğaz
بوغاز كبير,Boğaz-ı Kebir
بوغاز زير,Boğaz-ı Zir
بوغاز حصارى,Boğaz/Boğazhisar
بغاز حصار,Boğazhisar
بغاز حصار,Boğazhisar
بوغاز حصار,Boğazhisar
اياز حصار,Boğazhisar/Ayazhisar
بغازكسان,Boğazhisarı/Boğazkesen
بوغازحصارى,Boğazhisarı/Hisar-ı Rumeli
قلعۀ بوغازكسان,Boğazhisarı/Kale-i Boğazkesen
بوغزي يومرى,Boğazıyumru
بوغاز كويى,Boğazköyü
بوغاز كوى,Boğazköyü/Boğazköy
بوغازليان,Boğazlıyan
بوغزليان,Boğazlıyan
بوغچه,Boğça
بوغدان,Boğdan
بغدان,Boğdan
بُغدَان,Boğdan
ولايت بغدان,Boğdan/Vilayet-i Boğdan
بغدانوس,Boğdanos
بغدان,Boğdanos/Boğdan
بغدان رپه,Boğdanripe
بوغناريت,Boğnarit
بوغناد,Boğnarit/Boğnad
بهتان,Bohtan
بوهتان,Bohtan
بوهتان,Bohtan
بولامان,Bolaman
بولمان,Bolaman
بولمان و جماش,Bolaman ve Çamaş
پولمان,Bolaman/Polaman
بولاوادين,Bolavadin
بوليوادين,Bolavadin/Bolivadin
بولوه دين,Bolavadin/Bolvadin
بولوادين,Bolavadin/Bolvadin
بولوادين,Bolavadin/Bolvadin
نفس بولوادين,Bolavadin/Bolvadin merkez
بولاير,Bolayır
بلهوه,Bolhova
بولى,Bolu
بولي,Bolu
بولى مع اركلى,Bolu maa Bendereğli (Ereğli)
بولى مع نواحى,Bolu maa Nevahi
نفس بولى,Bolu merkez
بوليجان,Bolucan
پوليجان,Bolucan/Polican
بولولى,Bolulu
بولوان,Bolvan
بومبورى,Bombori
بون,Bone/Bon
بوپاقچه,Bopakça
بور,Bor
بور,Bor
بور مع قايى,Bor maa Kayı
بور مع قاف,Bor maa Kayı (Kaf)
بور مع قانى,Bor maa Kayı (Kani)
بوراچ,Boraç
بوراج,Boraç
واروش بوراج,Boraç (Varoş-ı Boraç)/İzvovik
بوراج,Boraç/Praça
بوراواج,Boravac
بوربوچقو,Borboçko
بورپوچقو,Borboçko/Borpoçko
بورچقه,Borçka
بورچو,Borçov
بوريچوچه,Boriçeviçe
بوريچواچ,Boriçeviçe/Boriçevac
قلعۀ بوريچوچه,Boriçeviçe/Kale-i Boriçeviçe
قلعۀ بوريچوچه,Boriçeviçe/Kale-i Boriçeviçe
بورسقوفچه,Boriskofça
بورلى,Borlu
بورلو,Borlu
بورلى,Borlu
بورلئ صاروخان,Borlu/Borlu-i Saruhan
بورلى,Borlu/Timurci
بورهوه,Borohova
بوريه,Borye
بوريو,Borye/Boryo
بوسنه,Bosna
بوسه,Bosna
بوسنه,Bosna
بوسنه برودى,Bosna Brodu
برود و اسرم چرنيك (؟),Bosna Brodu (Brod) ve İsrem-i Çernik (?)
بوسنه برود,Bosna Brodu/Bosna Brod
برود,Bosna Brodu/Brod
برود,Bosna Brodu/Brod
بروت,Bosna Brodu/Brot
بوسنه برودى,Bosna Brodu/Travnik
بوسنه طاغلرى,Bosna Dağları
نفس بوسنه,Bosna merkez
بوسنه شامچه,Bosna Şamiçe
بوسنه و هرسك,Bosna ve Hersek
سراى,Bosna/Saray
سراى بوسنه,Bosna/Saraybosna
بصود,Bosud
بوصود,Bosud
بوصوت,Bosud/Bosut
پوصوت,Bosud/Posut
بوشاد,Boşad
بوشقه پلانه,Boşkaplana
بوشقه بلانه,Boşkaplana
بوشقو بلاته,Boşkaplana/Boşkoblata
بوطوچانى,Botuçani
بويدى اطه جغى,Bovidi Adacığı
بوى آباد,Boyabad
بوى اباد,Boyabad
بوى آباد,Boyabad
بوى اباد مع يورتان,Boyabad maa Yortan
نفس بوى آباد,Boyabad merkez
بوى اواسى,Boyabad/Boyovası
بوى اباد,Boyabad/Boyovası
بويالى,Boyalı
بويالو,Boyalı
بويان,Boyan (?)
بويانه,Boyana
بويانه كنارى,Boyana/Boyanakenarı
بويميه,Boyimiye
بويناق,Boynak
بوينى يوغنلى,Boynuyoğunlu
بوينوبوغنلى,Boynuyoğunlu/Boynuboğunlu
بوزا,Boza
بوز آباد,Bozabad
بوز ابآد,Bozabad
بوز اباد,Bozabad
بوى اباد,Bozabad/Boyabad
بوزاغاج,Bozağaç
بوزآغاج,Bozağaç
بوزآغاج,Bozağaç
بوزاغاج بولكه سيله كلنار,Bozağaç bölgesiyle Gülnar
